product_id,product_naam,prijs,kilo_prijs,omschrijving,inhoud,ingredienten,kenmerken,allergie_bevat,allergie_kan_bevatten,leverancier,adres_leverancier,product_url
768327,AH Chocolade zeevruchten,1.99,7.96,"['Chocoladebonbons', 'met 44% hazelnootpralinévulling', 'FSC-Logo: 100% Karton uit goed beheerde bossen', 'FSC-C005845']",250 Gram,"['Ingrediënten: suiker, 23% ', '°, cacaoboter°, volle', 'poeder, cacaomassa°, magerecacaopoeder°, magere', 'poeder, emulgator (lecithine\xa0[E322]), ', 'vet, natuurlijk vanillearoma.', 'Waarvan toegevoegde suikers 44g per 100 gram en waarvan toegevoegd zout 0.00g per 100 gram', '°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org']","['Papier en/of hout van gecertificeerde herkomst', 'Rainforest Alliance people & nature', 'Vegetarisch', 'Glutenvrij']","Melk, Noten, Lactose, Hazelnoot","Amandel, Cashewnoot, Macadamianoot, Pecannoot, Paranoot, Pistache-Noot, Walnoot",Albert Heijn B.V.,"Provincialeweg 11, 1506 MA ZAANDAM, Nederland",https://www.ah.nl/producten/product/wi172425/ah-chocolade-zeevruchten
504065,AH Tablet puur,0.65,6.5,['Pure chocolade'],100 Gram,"['Ingrediënten: cacaomassa°, suiker, ', ', emulgator (', 'lecithine\xa0[E322]), Bourbonvanille-extract.', 'Waarvan toegevoegde suikers 47g per 100 gram en waarvan toegevoegd zout 0.00g per 100 gram', 'cacaobestanddelen ten minste 50%. ', '°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org']","['Rainforest Alliance people & nature', 'Vegetarisch']","Soja, Lactose","Eieren, Melk, Noten, Pinda'S, Glutenbevattende Granen, Gerst, Khorasantarwe, Haver, Spelt, Rogge, Amandel, Cashewnoot, Hazelnoot, Macadamianoot, Pecannoot, Paranoot, Pistache-Noot, Walnoot, Tarwe",Albert Heijn B.V.,"Provincialeweg 11, 1506 MA ZAANDAM, Nederland",https://www.ah.nl/producten/product/wi196282/ah-tablet-puur
504064,AH Tablet melk,0.65,6.5,['Melkchocolade'],100 Gram,"['Ingrediënten: suiker, cacao', '°, magere', 'poeder, cacaomassa°, vegetarisch ', 'poeder, ', 'vet, ', 'pasta°, emulgator (', 'lecithine\xa0[E322]), Bourbonvanille-extract.', 'Waarvan toegevoegde suikers 42g per 100 gram en waarvan toegevoegd zout 0.00g per 100 gram', 'Cacaobestanddelen ten minste 30%, ', 'bestanddelen ten minste 18%. ', '°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org']","['Rainforest Alliance people & nature', 'Vegetarisch']","Melk, Soja, Lactose, Hazelnoot","Eieren, Noten, Pinda'S, Glutenbevattende Granen, Gerst, Khorasantarwe, Haver, Spelt, Rogge, Amandel, Cashewnoot, Macadamianoot, Pecannoot, Paranoot, Pistache-Noot, Walnoot, Tarwe",Albert Heijn B.V.,"Provincialeweg 11, 1506 MA ZAANDAM, Nederland",https://www.ah.nl/producten/product/wi35362/ah-tablet-melk
721553,AH Biologisch Cacao nibs,3.99,22.8,"['Cacao nibs', 'Skal 001920', 'EU-bio-logo', 'NL-BIO-01']",175 Gram,"['Ingrediënten: cacao*°.', 'Waarvan toegevoegde suikers 0.00g per 100 gram en waarvan toegevoegd zout 0.00g per 100 gram', '*Van biologische oorsprong. ', '°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org ', 'Niet-EU Landbouw']","['Biologisch', 'Vegetarisch', 'Glutenvrij', 'Lactosevrij']","Noten, Pinda'S, Sesamzaad, Amandel, Cashewnoot, Hazelnoot, Macadamianoot, Pecannoot, Paranoot, Pistache-Noot, Walnoot",,Albert Heijn B.V.,"Provincialeweg 11, 1506 MA ZAANDAM, Nederland",https://www.ah.nl/producten/product/wi470033/ah-biologisch-cacao-nibs
768327,AH Chocolade zeevruchten,1.99,7.96,"['Chocoladebonbons', 'met 44% hazelnootpralinévulling', 'FSC-Logo: 100% Karton uit goed beheerde bossen', 'FSC-C005845']",250 Gram,"['Ingrediënten: suiker, 23% ', '°, cacaoboter°, volle', 'poeder, cacaomassa°, magerecacaopoeder°, magere', 'poeder, emulgator (lecithine\xa0[E322]), ', 'vet, natuurlijk vanillearoma.', 'Waarvan toegevoegde suikers 44g per 100 gram en waarvan toegevoegd zout 0.00g per 100 gram', '°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org']","['Papier en/of hout van gecertificeerde herkomst', 'Rainforest Alliance people & nature', 'Vegetarisch', 'Glutenvrij']","Melk, Noten, Lactose, Hazelnoot","Amandel, Cashewnoot, Macadamianoot, Pecannoot, Paranoot, Pistache-Noot, Walnoot",Albert Heijn B.V.,"Provincialeweg 11, 1506 MA ZAANDAM, Nederland",https://www.ah.nl/producten/product/wi172425/ah-chocolade-zeevruchten
705631,AH Chocolade flikken musket,1.99,11.37,['Melkchocolade met 19% suikerdecoratie'],175 Gram,"['Ingrediënten: suiker, cacaomassa°, volle', 'poeder, cacaoboter°, ', 'zetmeel, glucosestroop, water, emulgator (', 'lecithine\xa0[E322]), kleurstof (paprika-extract [E160c], riboflavine [E101], curcumine [E100]), kleurend concentraat (rode biet, spirulina, saffloer), kokosolie, glansmiddel (bijenwas [E901]), natuurlijk vanillearoma.', 'Waarvan toegevoegde suikers 51g per 100 gram en waarvan toegevoegd zout 0.00g per 100 gram', 'Cacaobestanddelen ten minste 32%, ', 'bestanddelen ten minste 18%. ', '°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org']",['Vegetarisch'],"Melk, Glutenbevattende Granen, Soja, Lactose, Tarwe","Noten, Amandel, Hazelnoot, Macadamianoot, Pistache-Noot, Walnoot",Albert Heijn B.V.,"Provincialeweg 11, 1506 MA ZAANDAM, Nederland",https://www.ah.nl/producten/product/wi507796/ah-chocolade-flikken-musket
592301,Delicata Melk gerookte amandel cranberry,2.19,24.33,"['Melkchocolade', ""met 10% gesuikerde cranberry's en 9% amandelen met rooksmaak"", ""Delicata koopt gecertificeerde cacao in van Rainforest Alliance en werkt volgens de vijf samenwerkingsprincipes van de Open Chain, opgezet door Tony's Chocolonely. Lees meer op www.ra.org en www.tonysopenchain.com"", 'FSC-Logo: MIX Karton van verantwoorde herkomst ', 'FSC-C014602']",90 Gram,"['Ingrediënten: suiker, cacaoboter°, volle', 'poeder, cacaomassa°, 8,3% ', ', 5,9% cranberry, ', 'vet, zonnebloemolie, natuurlijk vanillearoma, emulgator (', 'lecithine\xa0[E322]), rookaroma.\xa0', 'Waarvan toegevoegde suikers 38g per 100 gram en waarvan toegevoegd zout 0.00g per 100 gram', 'Cacaobestanddelen ten minste 36%, ', 'bestanddelen ten minste 19%. ', '°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org']","['Papier en/of hout van gecertificeerde herkomst', 'Rainforest Alliance people & nature', 'Vegetarisch', ""Tony's Open Chain""]","Melk, Noten, Soja, Lactose, Amandel","Eieren, Pinda'S, Glutenbevattende Granen, Gerst, Haver, Spelt, Rogge, Cashewnoot, Hazelnoot, Macadamianoot, Pecannoot, Paranoot, Pistache-Noot, Walnoot, Tarwe",Albert Heijn B.V.,"Provincialeweg 11, 1506 MA ZAANDAM, Nederland",https://www.ah.nl/producten/product/wi508012/delicata-melk-gerookte-amandel-cranberry
710649,Delicata Puur gember limoen,2.19,24.33,"['Pure chocolade', 'met 0,2% gember en 0,87% limoensapconcentraat', ""Delicata koopt gecertificeerde cacao in van Rainforest Alliance en werkt volgens de vijf samenwerkingsprincipes van de Open Chain, opgezet door Tony's Chocolonely. Lees meer op www.ra.org en www.tonysopenchain.com"", 'FSC Logo: MIX Karton FSC Code: FSC-C014602', 'FSC-Logo: MIX Karton van verantwoorde herkomst ', 'FSC-C014602']",90 Gram,"['Ingrediënten: cacaomassa°, suiker, cacaoboter°, glucosestroop, limoensapconcentraat, tapiocazetmeel, emulgator (', 'lecithine\xa0[E322]), 0,2% limoenschil, gember, natuurlijk vanillearoma, 0,03% limoenolie.\xa0', 'Waarvan toegevoegde suikers 43g per 100 gram en waarvan toegevoegd zout 0.00g per 100 gram', 'cacaobestanddelen ten minste 58%. ', '°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org']","['Papier en/of hout van gecertificeerde herkomst', 'Rainforest Alliance people & nature', 'Vegetarisch', ""Tony's Open Chain""]",Soja,"Eieren, Melk, Noten, Pinda'S, Glutenbevattende Granen, Gerst, Haver, Spelt, Lactose, Rogge, Amandel, Cashewnoot, Hazelnoot, Macadamianoot, Pecannoot, Pistache-Noot, Walnoot, Tarwe",Albert Heijn B.V.,"Provincialeweg 11, 1506 MA ZAANDAM, Nederland",https://www.ah.nl/producten/product/wi507982/delicata-puur-gember-limoen
710560,Delicata Wit vlierbloesem,2.49,16.6,"['Witte chocolade', 'met 5% gedroogde vlierbessen , 1% gedroogde vlierbloesem  en 0,7% blauwebessenpuree', ""Delicata koopt gecertificeerde cacao in van Rainforest Alliance en werkt volgens de vijf samenwerkingsprincipes van de Open Chain, opgezet door Tony's Chocolonely. Lees meer op www.ra.org en www.tonysopenchain.com"", 'FSC-Logo: MIX Papier van verantwoorde herkomst ', 'FSC-C014602']",150 Gram,"['Ingrediënten: suiker, volle', 'poeder, cacaoboter°, gedroogde vlierbes, appelpuree uit concentraat, appelsapconcentraat, gedroogde vlierbloesem, blauwebessenpuree, emulgator (', 'lecithine\xa0[E322]), natuurlijk vanillearoma, citrusvezel, geleermiddel (pectine [E440]), kleurend concentraat (blauwe bes, wortel), natuurlijk aroma.', 'Waarvan toegevoegde suikers 40g per 100 gram en waarvan toegevoegd zout 0.00g per 100 gram', '°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org ', 'bestanddelen ten minste 19%.']","['Papier en/of hout van gecertificeerde herkomst', 'Rainforest Alliance people & nature', 'Vegetarisch', ""Tony's Open Chain""]","Melk, Soja, Lactose","Eieren, Noten, Pinda'S, Glutenbevattende Granen, Gerst, Haver, Spelt, Rogge, Amandel, Cashewnoot, Hazelnoot, Macadamianoot, Pecannoot, Paranoot, Pistache-Noot, Walnoot, Tarwe",Albert Heijn B.V.,"Provincialeweg 11, 1506 MA ZAANDAM, Nederland",https://www.ah.nl/producten/product/wi507981/delicata-wit-vlierbloesem
710552,Delicata Melk pinda crunch,2.49,16.6,"['Melkchocolade', ""met 15% geroosterde pinda's en 5% rijstcrisps"", ""Delicata koopt gecertificeerde cacao in van Rainforest Alliance en werkt volgens de vijf samenwerkingsprincipes van de Open Chain, opgezet door Tony's Chocolonely. Lees meer op www.ra.org en www.tonysopenchain.com"", 'FSC-Logo: MIX Papier van verantwoorde herkomst ', 'FSC-C014602']",150 Gram,"['Ingrediënten: suiker, cacaoboter°, volle', 'poeder, ', ', cacaomassa°, bloem (rijst, ', '), ', 'vet, ', 'emoutmeel, emulgator (lecithinen [322 (', ')]), natuurlijk vanillearoma, gekaramelliseerde suiker, zout, raapolie.', 'Waarvan toegevoegde suikers 35g per 100 gram en waarvan toegevoegd zout 0.04g per 100 gram', 'Cacaobestanddelen ten minste 36%, ', 'bestanddelen ten minste 19%. ', '°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org']","['Papier en/of hout van gecertificeerde herkomst', 'Rainforest Alliance people & nature', 'Vegetarisch', ""Tony's Open Chain""]","Melk, Pinda'S, Glutenbevattende Granen, Soja, Gerst, Lactose, Tarwe","Eieren, Noten, Haver, Spelt, Rogge, Amandel, Cashewnoot, Hazelnoot, Macadamianoot, Pecannoot, Paranoot, Pistache-Noot, Walnoot",Albert Heijn B.V.,"Provincialeweg 11, 1506 MA ZAANDAM, Nederland",https://www.ah.nl/producten/product/wi507980/delicata-melk-pinda-crunch
