product_id,product_naam,prijs,kilo_prijs,omschrijving,inhoud,ingredienten,kenmerken,allergie_bevat,allergie_kan_bevatten,leverancier,adres_leverancier,product_url
325711,Chocoladetablet Puur hazelnoot,1.39,13.90 ,Pure chocolade met hele hazelnoten (25 %). Chocolade-deel bevat: ten minste 50 % cacaobestanddelen.,100 gram,"['suiker, cacaomassa, HAZELNOTEN, cacaoboter, BOTERvet, emulgator: lecithinen (SOJA).  Kan sporen van aardnoten, andere noten, gluten bevattende granen, andere melkproducten en eieren bevatten.']",['Rainforest Alliance'],"['Melk', 'Noten', 'Soja']",,Alfred Ritter,D-71111 Waldenbuch Deutschland/Germany/Allemagne,https://www.plus.nl/product/ritter-sport-chocoladetablet-puur-hazelnoot-pak-100-gram-325711
911370,Cashew,1.39,13.90 ,"Melkchocolade met geroosterde, gezouten stukjes cashewnoten (22 %). Melkchocolade: ten minste 30 % cacaobestanddelen.",100 gram,"['suiker, CASHEWNOTEN, cacaoboter, cacaomassa, volle MELKpoeder, LACTOSE, magere MELKpoeder, BOTERvet, emulgator: lecithinen (SOJA), zout. Kan sporen van aardnoten, andere noten, gluten bevattende granen en eieren bevatten.']",['Rainforest Alliance'],"['Melk', 'Noten', 'Soja', 'Lactose']",,Alfred Ritter,D-71111 Waldenbuch Deutschland/Germany/Allemagne,https://www.plus.nl/product/ritter-sport-cashew-pak-100-gram-911370
617750,Rozijn hazelnoot,1.39,13.90 ,Melkchocolade met rozijnen (16 %) en hazelnootstukken (7 %). Melkchocolade-deel bevat: ten minste 30 % cacaobestanddelen.,100 gram,"['suiker, rozijnen, cacaoboter, cacaomassa, volle MELKpoeder, HAZELNOTEN, LACTOSE, magere MELKpoeder, BOTERvet, emulgator: lecithinen (SOJA).  Kan sporen van aardnoten, andere noten, gluten bevattende granen en eieren bevatten.']",['Rainforest Alliance'],"['Melk', 'Noten', 'Soja', 'Lactose']",,Alfred Ritter,D-71111 Waldenbuch Deutschland/Germany/Allemagne,https://www.plus.nl/product/ritter-sport-rozijn-hazelnoot-reep-100-gram-617750
325714,Chocoladetablet Wit hele hazelnoot,1.39,13.90 ,Witte chocolade met hele hazelnoten (25 %) en gepofte rijst (3 %).,100 gram,"['suiker, HAZELNOTEN, cacaoboter, volle MELKpoeder, LACTOSE, rijst (2,5 %), BOTERvet, emulgator: lecithinen (SOJA), zout, moutextract (GERST).  Kan sporen van aardnoten, andere noten en eieren bevatten.']",['Rainforest Alliance'],"['Melk', 'Noten', 'Glutenbevattende granen', 'Soja', 'Lactose']",,Alfred Ritter,D-71111 Waldenbuch Deutschland/Germany/Allemagne,https://www.plus.nl/product/ritter-sport-chocoladetablet-wit-hele-hazelnoot-pak-100-gram-325714
325707,Chocoladetablet hele hazelnoot,1.39,13.90 ,Melkchocolade met hele hazelnoten (25 %). Melkchocolade-deel bevat: ten minste 30 % cacaobestanddelen.,100 gram,"['suiker, HAZELNOTEN, cacaoboter, cacaomassa, volle MELKpoeder, LACTOSE, magere MELKpoeder, BOTERvet, emulgator: lecithinen (SOJA).  Kan sporen van aardnoten, andere noten, gluten bevattende granen en eieren bevatten.']",['Rainforest Alliance'],"['Melk', 'Noten', 'Soja', 'Lactose']",,Alfred Ritter,D-71111 Waldenbuch Deutschland/Germany/Allemagne,https://www.plus.nl/product/ritter-sport-chocoladetablet-hele-hazelnoot-pak-100-gram-325707
617744,Marsepein,1.39,13.90 ,Met marsepein (44 %) gevulde pure chocolade.,100 gram,"['suiker, cacaomassa, AMANDELEN (16 %), cacaoboter, invertsuikerstroop, emulgator: lecithinen (SOJA), bevochtigingsmiddel: invertase.  Kan sporen van aardnoten, noten, gluten bevattende granen, melk en eieren bevatten.']",['Rainforest Alliance'],"['Noten', 'Soja']",,Alfred Ritter,D-71111 Waldenbuch Deutschland/Germany/Allemagne,https://www.plus.nl/product/ritter-sport-marsepein-reep-100-gram-617744
388513,Chocolate eclairs,1.39,9.27 ,Eclairs met Jersey melkchocolade,150 gram,"['glucosesiroop, suiker, palmvet, gezoete gecondenseerde magere melk (magere MELK, suiker), melkchocolade eclairvulling (12%)(suiker, cacaomassa, volle MELKpoeder, cacaoboter, weipoeder (MELK), MELKvet, emulgator (SOJAlecithine)), boter (boter (MELK, zout) zout, emulgators (mono- en diglyceriden van vetzuren, SOJAlecithine). Melkchocolade bevat: minimaal 30% cacaobestanddelen, minimaal 20% melkbestanddelen. Geproduceerd in een fabriek waar noten verwerkt.']",[],"['Melk', 'Soja']",,Ashbury Chocolates,"Darwin Road, Willowbrook Industrial Estate,,Corby, Northants, NN17 5XZ,,England",https://www.plus.nl/product/jersey-chocolate-eclairs-zak-150-gram-388513
271180,Finest selection melk,3.69,14.76 ,Gevulde en niet-gevulde chocoladespecialiteiten.,250 gram,"[""suiker, cacaoboter, VOLLEMELKPOEDER, HAZELNOTEN, cacaomassa, plantaardige vetten (palm, shea), MELKSUIKER, KARNEMELKPOEDER, BOTERVET, AMANDELEN, dextrose, WEIPOEDER, MAGEREMELKPOEDER, emulgator: lecithine (SOJA), magere cacao, aroma's, zout."", 'ten minste 32% cacaobestanddelen. Melkchocolade; melkchocolade: ten minste 32% cacaobestanddelen. Melkchocolade met amandel- en hazelnootstukjes; melkchocolade: ten minste 32% cacaobestanddelen. Melkchocolade met pralinécrèmevulling; melkchocolade: ten minste 32% cacaobestanddelen.']",[],"['Melk', 'Noten', 'Soja', 'amandelen', 'hazelnoten']",,August Storck,"Antwoordnummer 1519, NL-3860 VE Hoevelaken",https://www.plus.nl/product/merci-finest-selection-melk-doos-250-gram-271180
266898,Toffifee,1.75,14.00 ,Hele hazelnoot (10 %) in karamel (41 %) met pralinécrème (37 %) en chocolade (12 %).,125 gram,"[""suiker, plantaardige vetten (palm, shea), HAZELNOTEN, glucosestroop, MAGEREMELKPOEDER, bevochtigingsmiddel: sorbitolstroop, cacaomassa, gecondenseerde MAGERE MELK, gecondenseerde WEI, MELKSUIKER, magere cacao, cacaoboter, BOTERVET, rietsuikerstroop, WEIPOEDER, emulgator: lecithinen (SOJA), zout, aroma's. Kan ook bestanddelen van amandel, aardnoot/pinda en andere noten bevatten.""]",[],"['Melk', 'Noten', 'Soja', 'Lactose', 'hazelnoten']",,August Storck,Waldstr. 27 - 13403 Berlin - Germany,https://www.plus.nl/product/toffifee-toffifee-doos-125-gram-266898
405563,Merci FS assortie,3.65,14.60 ,Gevulde en niet-gevulde chocoladespecialiteiten,250 gram,"['suiker, cacaoboter, cacaomassa, VOLLEMELKPOEDER, plantaardige vetten (palm, shea), HAZELNOTEN (3,8%), AMANDELEN (3,4%), ROOMPOEDER, MAGEREMELKPOEDER, MELKSUIKER, KARNEMELKPOEDER, BOTERVET, dextrose, magere cacao, fructose, emulgator: lecithinen (SOJA), glucosestroop, invertsuikerstroop, koffie, aroma¿s, zout.', 'ten minste 32% cacaobestanddelen. Melkchocolade; melkchocolade: ten minste 32% cacaobestanddelen. Melkchocolade met amandel- en hazelnootstukjes; melkchocolade: ten minste 32% cacaobestanddelen. Melkchocolade met pralinécrèmevulling; melkchocolade: ten minste 32% cacaobestanddelen. Pure chocolade; pure chocolade: ten minste 45% cacaobestanddelen. Pure chocolade gevuld met marsepein; pure chocolade: ten minste 50% cacaobestanddelen. Pure chocolade met moussevulling; pure chocolade: ten minste 50% cacaobestanddelen. Witte chocolade op mokkaroommelkchocolade; melkchocolade: ten minste 32% cacaobestanddelen, witte chocolade: ten minste 28% cacaobestanddelen.']",[],"['Melk', 'Noten', 'Soja', 'amandelen', 'hazelnoten']",,August Storck,"Antwoordnummer 1519, NL-3860 VE Hoevelaken",https://www.plus.nl/product/merci-merci-fs-assortie-box-250-gram-405563
