Index,Labels
0,off_topic
1,"social, economic"
2,off_topic
3,"social, environmental"
4,"social, economic"
5,environmental
6,off_topic
7,off_topic
8,"economic, environmental"
9,off_topic
10,off_topic
11,off_topic
12,off_topic
13,off_topic
14,"social, economic, environmental"
15,off_topic
16,"social, economic"
17,"social, economic, environmental"
18,"social, economic, environmental"
19,"social, economic, environmental"
20,"social, economic, environmental"
21,"social, economic, environmental"
22,"social, economic, environmental"
23,"social, economic, environmental"
24,off_topic
25,economic
26,"social, economic"
27,"social, economic, environmental"
28,"social, economic, environmental"
29,off_topic
30,off_topic
31,social
32,"social, economic, environmental"
33,off_topic
34,"social, economic, environmental"
35,social
36,off_topic
37,off_topic
38,"social, economic, environmental"
39,"social, economic, environmental"
40,off_topic
41,"social, economic, environmental"
42,"social, economic, environmental"
43,"social, economic, environmental"
44,"social, economic, environmental"
45,"social, economic, environmental"
46,"social, economic, environmental"
47,"social, economic, environmental"
48,"social, economic, environmental"
49,"social, economic, environmental"
50,"social, economic, environmental"
51,"social, economic, environmental"
52,off_topic
53,off_topic
54,off_topic
55,off_topic
56,off_topic
57,"environmental, social"
58,"environmental, social"
59,"environmental, social"
60,"social, environmental"
61,"social, environmental"
62,"social, economic, environmental"
63,off_topic
64,economic
65,off_topic
66,off_topic
67,off_topic
68,off_topic
