product_id,product_naam,prijs,kilo_prijs,omschrijving,inhoud,ingredienten,kenmerken,allergie_bevat,allergie_kan_bevatten,leverancier,adres_leverancier,product_url
914360,Chocoladereep Melk Fairtrade,0.81,"8,10",Melkchocolade,100 gram,"['Suiker, cacaoboter, volle MELKPOEDER, cacaomassa, botervet (MELK), emulgator: lecithine, natuurlijk vanillearoma.', 'ten minste 36% cacaobestanddelen']",['Fairtrade'],"['Melk', 'Lactose']",,PLUS,,https://www.plus.nl/product/plus-chocoladereep-melk-fairtrade-reep-100-gram-914360
356990,Tablet melk hazelnoot,0.65,"6,50",Melkchocolade met stukjes hazelnoot,100 gram,"['suiker, volle MELKpoeder, cacaoboter, 12% HAZELNOTEN, cacaomassa, MELKvet, emulgator: SOJAlecithine, natuurl¿k vanille-aroma. Melkchocolade: ten minste 30% cacaobestanddelen. Dit product kan sporen van andere NOTEN bevatten.']","['Fairtrade', 'Rainforest Alliance']","['Melk', 'Noten', 'Soja', 'hazelnoten']",,Grothe,"Postbus 5, 8170 AA Vaassen",https://www.plus.nl/product/grothe-tablet-melk-hazelnoot-tablt-100-gram-356990
694574,Chocoladereep Oreo,1.09,"10,90",Melkchocolade (van Alpenmelk) met cacaobiscuitstukjes (12%) en een melkcrèmevulling (42%) met vanillesmaak.,100 gram,"['suiker, plantaardige vetten (palm, palmpit), magere']",[],"['Melk', 'Noten', 'Glutenbevattende granen', 'Soja', 'hazelnoten', 'Tarwe']",,Milka,"Verlengde Poolseweg 34, 4818 CL Breda",https://www.plus.nl/product/milka-chocoladereep-oreo-doos-100-gram-694574
440858,Tablet melk Fairtrade,1.69,"8,45",Melkchocolade,200 gram,"['Suiker, cacaoboter, volle MELKPOEDER, cacaomassa, MELKVET, emulgator: SOJALECITHINE, natuurlijk vanillearoma.', 'ten minste 37% cacaobestanddelen.']",['Fairtrade'],"['Melk', 'Soja', 'Lactose']",,PLUS,,https://www.plus.nl/product/plus-tablet-melk-fairtrade-reep-200-gram-440858
914358,Chocoladereep Butterscotch Fairtrade,1.19,"11,90",Melkchocolade met butterscotch,100 gram,"['Suiker, cacaoboter, 17% butterscotch (suiker, glucosestroop, boter (MELK), palmolie, emulgator: lecithine, zout, kleurstof: karamel), volle MELKPOEDER, cacaomassa, botervet (MELK), emulgator: lecithine, natuurlijk vanillearoma.', 'ten minste 36% cacaobestanddelen.']",['Fairtrade'],"['Melk', 'Lactose']",,PLUS,,https://www.plus.nl/product/plus-chocoladereep-butterscotch-fairtrade-reep-100-gram-914358
914336,Chocoladereep Wit Fairtrade,1.19,"11,90",Witte chocolade,100 gram,"['Suiker, volle MELKPOEDER, cacaoboter, emulgator: lecithine, natuurlijk vanillearoma.', 'ten minste 27% cacaobestanddelen.']",['Fairtrade'],"['Melk', 'Lactose']",,PLUS,"Antwoordnummer 4200, 3500 VD Utrecht",https://www.plus.nl/product/plus-chocoladereep-wit-fairtrade-reep-100-gram-914336
506218,Chocoladereep alpenmelk,0.99,"9,90",Melkchocolade (van Alpenmelk).,100 gram,"['suiker, cacaoboter, cacaomassa, magere']",[],"['Melk', 'Noten', 'Soja', 'hazelnoten']",,Milka,"Verlengde Poolseweg 34, 4818 CL Breda",https://www.plus.nl/product/milka-chocoladereep-alpenmelk-tablt-100-gram-506218
839638,Chocoladereep karamel,1.02,"10,20",Melkchocolade (van Alpenmelk) met melkcrèmevulling (35 %) met karamelsmaak en karamelvulling (15 %).,100 gram,"['Suiker, palmolie, cacaoboter, magere']",[],"['Melk', 'Noten', 'Soja', 'hazelnoten']",,Milka,"Verlengde Poolseweg 34, 4818 CL Breda",https://www.plus.nl/product/milka-chocoladereep-karamel-reep-100-gram-839638
356988,Tablet melk,0.65,"6,50",Melkchocolade,100 gram,"['suiker, volle MELKpoeder, cacaoboter, cacaomassa, MELKvet, emulgator: SOJAlecithine, natuurl¿k vanille aroma. Melkchocolade: ten minste 30% cacaobestand- delen. Dit product kan sporen van NOTEN bevatten']",['Fairtrade'],"['Melk', 'Soja']",,Grothe,,https://www.plus.nl/product/grothe-tablet-melk-tablt-100-gram-356988
768713,Chocoladereep Puur Fairtrade,1.19,"11,90",Pure chocolade,100 gram,"['suiker, cacaomassa, cacaoboter, emulgator: lecithine, natuurlijk vanillearoma.', 'ten minste 54% cacaobestanddelen']",['Fairtrade'],[],,PLUS,"Antwoordnummer 4200, 3500 VD Utrecht",https://www.plus.nl/product/plus-chocoladereep-puur-fairtrade-reep-100-gram-768713
